accession.version	start	stop	gap_length	gap_type	linkage_evidence
NW_020190428.1	224549	224648	100	within_scaffold	paired-ends
NW_020190428.1	369622	369646	25	within_scaffold	paired-ends
NW_020190467.1	74693	74792	100	within_scaffold	paired-ends
NW_020190467.1	83331	83430	100	within_scaffold	paired-ends
NW_020190478.1	135870	135894	25	within_scaffold	paired-ends
NW_020190496.1	23342	23441	100	within_scaffold	paired-ends
NW_020190496.1	145427	145451	25	within_scaffold	paired-ends
NW_020190613.1	35833	35857	25	within_scaffold	paired-ends
NW_020190613.1	82969	82993	25	within_scaffold	paired-ends
NW_020190641.1	35418	35442	25	within_scaffold	paired-ends
NW_020190675.1	41829	41928	100	within_scaffold	paired-ends
NW_020190675.1	148835	148934	100	within_scaffold	paired-ends
NW_020190675.1	188811	188910	100	within_scaffold	paired-ends
NW_020190741.1	25170	25269	100	within_scaffold	paired-ends
NW_020190741.1	33120	33219	100	within_scaffold	paired-ends
NW_020190741.1	80467	80566	100	within_scaffold	paired-ends
NW_020190741.1	93076	93100	25	within_scaffold	paired-ends
NW_020190851.1	63837	63936	100	within_scaffold	paired-ends
NW_020190873.1	126228	126252	25	within_scaffold	paired-ends
NW_020190873.1	212063	212087	25	within_scaffold	paired-ends
NW_020190884.1	81796	81895	100	within_scaffold	paired-ends
NW_020190953.1	19493	19528	36	within_scaffold	paired-ends
NW_020190994.1	270148	270213	66	within_scaffold	paired-ends
NW_020190994.1	442964	442988	25	within_scaffold	paired-ends
NW_020190994.1	1087736	1087835	100	within_scaffold	paired-ends
NW_020191002.1	11530	11554	25	within_scaffold	paired-ends
NW_020191050.1	13200	13224	25	within_scaffold	paired-ends
NW_020191050.1	127511	127535	25	within_scaffold	paired-ends
NW_020191148.1	62915	62939	25	within_scaffold	paired-ends
NW_020191148.1	154258	154357	100	within_scaffold	paired-ends
NW_020191195.1	53573	53672	100	within_scaffold	paired-ends
NW_020191223.1	100867	100891	25	within_scaffold	paired-ends
NW_020191238.1	25397	25496	100	within_scaffold	paired-ends
NW_020191261.1	137185	137209	25	within_scaffold	paired-ends
NW_020191411.1	28336	28435	100	within_scaffold	paired-ends
NW_020191415.1	131505	131529	25	within_scaffold	paired-ends
NW_020191436.1	22058	22157	100	within_scaffold	paired-ends
NW_020191629.1	122891	122990	100	within_scaffold	paired-ends
NW_020191629.1	145934	146033	100	within_scaffold	paired-ends
NW_020191713.1	79294	79318	25	within_scaffold	paired-ends
NW_020191822.1	23940	23964	25	within_scaffold	paired-ends
NW_020191822.1	42286	42310	25	within_scaffold	paired-ends
NW_020191822.1	83041	83140	100	within_scaffold	paired-ends
NW_020192012.1	666482	666506	25	within_scaffold	paired-ends
NW_020192051.1	64133	64157	25	within_scaffold	paired-ends
NW_020192051.1	80600	80699	100	within_scaffold	paired-ends
NW_020192089.1	21688	21787	100	within_scaffold	paired-ends
NW_020192089.1	74026	74050	25	within_scaffold	paired-ends
NW_020192125.1	139100	139124	25	within_scaffold	paired-ends
NW_020192254.1	30975	31074	100	within_scaffold	paired-ends
NW_020192254.1	164336	164435	100	within_scaffold	paired-ends
NW_020192254.1	349109	349208	100	within_scaffold	paired-ends
NW_020192288.1	26410	26434	25	within_scaffold	paired-ends
NW_020192288.1	116701	116725	25	within_scaffold	paired-ends
NW_020192288.1	200933	200957	25	within_scaffold	paired-ends
NW_020192288.1	243413	243437	25	within_scaffold	paired-ends
NW_020192288.1	277840	277939	100	within_scaffold	paired-ends
NW_020192290.1	194917	194941	25	within_scaffold	paired-ends
NW_020192290.1	228755	228779	25	within_scaffold	paired-ends
NW_020192291.1	19907	20006	100	within_scaffold	paired-ends
NW_020192291.1	47645	47744	100	within_scaffold	paired-ends
NW_020192291.1	96985	97009	25	within_scaffold	paired-ends
NW_020192291.1	137580	137679	100	within_scaffold	paired-ends
NW_020192291.1	227978	228002	25	within_scaffold	paired-ends
NW_020192291.1	326730	326829	100	within_scaffold	paired-ends
NW_020192291.1	373148	373247	100	within_scaffold	paired-ends
NW_020192291.1	380694	380793	100	within_scaffold	paired-ends
NW_020192291.1	555620	555719	100	within_scaffold	paired-ends
NW_020192292.1	4109845	4109869	25	within_scaffold	paired-ends
NW_020192292.1	5011097	5011196	100	within_scaffold	paired-ends
NW_020192294.1	623443	623467	25	within_scaffold	paired-ends
NC_037328.1	8952564	8952663	100	within_scaffold	paired-ends
NC_037328.1	25441720	25441819	100	within_scaffold	paired-ends
NC_037328.1	56773994	56774093	100	within_scaffold	paired-ends
NC_037328.1	56800577	56800601	25	within_scaffold	paired-ends
NC_037328.1	86470615	86470714	100	within_scaffold	paired-ends
NC_037328.1	87254323	87254347	25	within_scaffold	paired-ends
NC_037328.1	88312663	88312687	25	within_scaffold	paired-ends
NC_037328.1	88579656	88579680	25	within_scaffold	paired-ends
NC_037328.1	140935166	140935190	25	within_scaffold	paired-ends
NC_037328.1	156735806	156735830	25	within_scaffold	paired-ends
NC_037328.1	157569122	157569373	252	within_scaffold	paired-ends
NC_037328.1	157617392	157617416	25	within_scaffold	paired-ends
NC_037328.1	157721190	157721214	25	within_scaffold	paired-ends
NC_037328.1	157795512	157795763	252	within_scaffold	paired-ends
NC_037328.1	157954621	157954645	25	within_scaffold	paired-ends
NC_037328.1	158162054	158162078	25	within_scaffold	paired-ends
NC_037328.1	158370882	158370906	25	within_scaffold	paired-ends
NC_037329.1	7956263	7956287	25	within_scaffold	paired-ends
NC_037329.1	16522538	16522637	100	within_scaffold	paired-ends
NC_037329.1	121360423	121360447	25	within_scaffold	paired-ends
NC_037329.1	121576277	121576301	25	within_scaffold	paired-ends
NC_037329.1	121607000	121607024	25	within_scaffold	paired-ends
NC_037330.1	12117386	12117410	25	within_scaffold	paired-ends
NC_037330.1	17396303	17396327	25	within_scaffold	paired-ends
NC_037330.1	17418009	17418108	100	within_scaffold	paired-ends
NC_037330.1	17427526	17427550	25	within_scaffold	paired-ends
NC_037330.1	18442416	18442440	25	within_scaffold	paired-ends
NC_037330.1	20982066	20982165	100	within_scaffold	paired-ends
NC_037330.1	46785673	46785772	100	within_scaffold	paired-ends
NC_037330.1	54342115	54342139	25	within_scaffold	paired-ends
NC_037330.1	101016507	101016531	25	within_scaffold	paired-ends
NC_037330.1	119358742	119358993	252	within_scaffold	paired-ends
NC_037330.1	119390246	119390497	252	within_scaffold	paired-ends
NC_037330.1	119500213	119500237	25	within_scaffold	paired-ends
NC_037330.1	119607153	119607177	25	within_scaffold	paired-ends
NC_037331.1	62538748	62538847	100	within_scaffold	paired-ends
NC_037331.1	70076907	70077006	100	within_scaffold	paired-ends
NC_037331.1	76773107	76773206	100	within_scaffold	paired-ends
NC_037331.1	105898662	105898761	100	within_scaffold	paired-ends
NC_037331.1	105927509	105927608	100	within_scaffold	paired-ends
NC_037331.1	119889372	119889471	100	within_scaffold	paired-ends
NC_037331.1	119905625	119905724	100	within_scaffold	paired-ends
NC_037331.1	119917701	119917952	252	within_scaffold	paired-ends
NC_037332.1	76927113	76927212	100	within_scaffold	paired-ends
NC_037332.1	79529967	79529991	25	within_scaffold	paired-ends
NC_037332.1	85388193	85388292	100	within_scaffold	paired-ends
NC_037332.1	102636356	102636380	25	within_scaffold	paired-ends
NC_037332.1	102957201	102957225	25	within_scaffold	paired-ends
NC_037333.1	182112	182136	25	within_scaffold	paired-ends
NC_037333.1	1468969	1468993	25	within_scaffold	paired-ends
NC_037333.1	5253234	5253258	25	within_scaffold	paired-ends
NC_037333.1	5907407	5907431	25	within_scaffold	paired-ends
NC_037333.1	9248770	9248869	100	within_scaffold	paired-ends
NC_037333.1	14180630	14180729	100	within_scaffold	paired-ends
NC_037333.1	35306300	35306324	25	within_scaffold	paired-ends
NC_037333.1	101724737	101724761	25	within_scaffold	paired-ends
NC_037333.1	112158724	112158748	25	within_scaffold	paired-ends
NC_037333.1	112223195	112223219	25	within_scaffold	paired-ends
NC_037333.1	115427117	115427141	25	within_scaffold	paired-ends
NC_037334.1	8803937	8804036	100	within_scaffold	paired-ends
NC_037334.1	9906762	9906846	85	within_scaffold	paired-ends
NC_037334.1	9995706	9995957	252	within_scaffold	paired-ends
NC_037334.1	10806756	10806780	25	within_scaffold	paired-ends
NC_037334.1	10996661	10996685	25	within_scaffold	paired-ends
NC_037334.1	18760070	18760169	100	within_scaffold	paired-ends
NC_037334.1	41328039	41328063	25	within_scaffold	paired-ends
NC_037334.1	41405669	41405693	25	within_scaffold	paired-ends
NC_037334.1	41723056	41723080	25	within_scaffold	paired-ends
NC_037334.1	68550755	68550779	25	within_scaffold	paired-ends
NC_037334.1	104275540	104275639	100	within_scaffold	paired-ends
